kanji;kana;english;class
アクセサリー;あくせさりー;accessories, jewelry;Noun
あくび;あくび;yawn;Noun
あめ;あめ;candy;Noun
上り;のぼり;going up, ascent;Noun
なるべく;なるべく;as...as possible, if possible;Adverb
じっと;じっと;without moving, still;Adverb
食器;しょっき;tableware;Noun
延ばす;のばす;extend, postpone;Verb
薬局;やっきょく;drugstore, pharmacy;Noun
雄;おす;male (animal);Noun
雌;めす;female (animal);Noun
和風;わふう;Japanese-inspired, Japanese-style;Noun
いびき;いびき;snoring;Noun
ピクニック;ぴくにっく;picnic;Noun
地域;ちいき;region, area;Noun
勘違い;かんちがい;misunderstanding, wrong idea or assumption;Verbal Noun
重要;じゅうよう;important, essential;Adjectival Noun
主人;しゅじん;one's husband, master;Noun
お宅;おたく;(someone else's) home;Noun
ハイキング;はいきんぐ;hiking;Verbal Noun
畑;はたけ;field, farm;Noun
ボーイフレンド;ぼーいふれんど;boyfriend;Noun
イヤリング;いやりんぐ;earrings;Noun
ガールフレンド;がーるふれんど;girlfriend;Noun
柔らか;やわらか;soft, gentle;Adjectival Noun
納豆;なっとう;fermented soybeans;Noun
別に;べつに;particularly, not really;Adverb
どうしても;どうしても;by any means, no matter how;Adverb
父親;ちちおや;father, male parent;Noun
誘う;さそう;invite, ask out;Verb
母親;ははおや;mother, female parent;Noun
昼前;ひるまえ;in the morning, before noon;Noun
ふらふら;ふらふら;be dizzy, lightheaded;Adverb
こぼす;こぼす;spill (something);Verb
持ってくる;もってくる;bring;Verb
振り向く;ふりむく;turn around, look back;Verb
洗面所;せんめんじょ;washroom, bathroom;Noun
外側;そとがわ;exterior, outside;Noun
段々;だんだん;gradually, little by little;Adverb
包む;つつむ;wrap, pack;Verb
無くなる;なくなる;go missing, run out;Verb
豚;ぶた;pig;Noun
褒める;ほめる;praise, compliment;Verb
沸かす;わかす;boil (water);Verb
暖める;あたためる;warm (something) up;Verb
換える;かえる;exchange, convert;Verb
安っぽい;やすっぽい;cheap-looking, tacky;Adjective
ぎらぎら;ぎらぎら;glaring, blinding;Adverb
何とか;なんとか;somehow or other;Adverb
いよいよ;いよいよ;finally, any moment;Adverb
がらがら;がらがら;not crowded;Adjectival Noun
缶詰;かんづめ;canned food;Noun
怪我;けが;injury;Verbal Noun
寒さ;さむさ;coldness, cold;Noun
祝日;しゅくじつ;holiday;Noun
すき焼き;すきやき;sukiyaki;Noun
葉書;はがき;postcard;Noun
掃く;はく;sweep;Verb
何しろ;なにしろ;anyhow, as you may know;Adverb
どんどん;どんどん;quickly, rapidly;Adverb
ぺこぺこ;ぺこぺこ;hungry, starving;Adjectival Noun
ぺらぺら;ぺらぺら;fluently, in a chatty way;Adjectival Noun
レインコート;れいんこーと;raincoat;Noun
アイス;あいす;ice cream (for short);Noun
塩辛い;しおからい;salty;Adjective
セロテープ;せろてーぷ;scotch tape;Noun
大幅;おおはば;drastically, substantially;Adjectival Noun
教育;きょういく;education;Verbal Noun
工事;こうじ;construction, repairing;Verbal Noun
担当;たんとう;being in charge (of official duties);Verbal Noun
法律;ほうりつ;law;Noun
丸;まる;circle, round;Noun
発表;はっぴょう;announcement;Verbal Noun
研究;けんきゅう;research, study;Verbal Noun
一方;いっぽう;one way, the other party;Adverb
国内;こくない;domestic, internal;Noun
全体;ぜんたい;whole, total;Noun
後;のち;after, afterward (formal);Noun
人間;にんげん;human being;Noun
刺身;さしみ;sliced raw fish or meat;Noun
ばら;ばら;rose;Noun
ねずみ;ねずみ;rat, mouse;Noun
以下;いか;below;Noun
昔;むかし;old times, the old days;Noun
訳;わけ;reason, sense;Noun
違い;ちがい;difference, mistake;Noun
しっかり;しっかり;mature, responsible;Adverb
将来;しょうらい;future, in the future;Noun
不思議;ふしぎ;mystery, wonder;Adjectival Noun
決して;けっして;never, by no means;Adverb
失敗;しっぱい;failure, mistake;Verbal Noun
番;ばん;one's turn, watch;Noun
出会う;であう;meet, encounter;Verb
悩む;なやむ;be troubled, suffer;Verb
汗;あせ;sweat;Noun
すっかり;すっかり;all, completely;Adverb
代わり;かわり;substitution, alternative;Noun
一言;ひとこと;single word, brief speech;Noun
豊か;ゆたか;rich, ample;Adjectival Noun
接続;せつぞく;connection, joining;Verbal Noun
抱える;かかえる;hold in one's arms;Verb
エンジン;えんじん;engine;Noun
少女;しょうじょ;young girl;Noun
無駄;むだ;pointless, waste;Adjectival Noun
自動;じどう;automatic operation;Noun
先輩;せんぱい;senior, superior;Noun
眺める;ながめる;look out, gaze;Verb
書類;しょるい;documents, papers;Noun
年月;ねんげつ;years, period of time;Noun
燃やす;もやす;burn (something);Verb
線路;せんろ;railway track, line;Noun
水着;みずぎ;bathing suit, swimsuit;Noun
可愛らしい;かわいらしい;lovely, charming;Adjective
仲良し;なかよし;good friend;Noun
梅干し;うめぼし;pickled plum;Noun
ドレス;どれす;formal dress;Noun
尽くす;つくす;make utmost efforts, devote to;Verb
地球;ちきゅう;the earth;Noun
不親切;ふしんせつ;unkind, inconsiderate;Adjectival Noun
からから;からから;very thirsty, very dry;Adjectival Noun
本箱;ほんばこ;bookcase;Noun
横書き;よこがき;horizontal writing;Noun
そば屋;そばや;buckwheat noodle shop;Noun
加工;かこう;processing, editing (a photo, etc.);Verbal Noun
実験;じっけん;experiment;Verbal Noun
愛する;あいする;love, care for;Verb
あんまり;あんまり;(not) that much, (not) so much;Adverb
いきなり;いきなり;all of a sudden, abruptly;Adverb
表;おもて;front, outside;Noun
汚れ;よごれ;dirt, blot;Noun
間;あいだ;interval, space between things;Noun
紫;むらさき;purple;Noun
灰色;はいいろ;ash color, gray;Noun
血;ち;blood (colloquial);Noun
顎;あご;jaw, chin;Noun
始めに;はじめに;in the beginning;Adverb
暖まる;あたたまる;get warm (air, atmosphere, etc.);Verb
お世辞;おせじ;compliment, flattery;Noun
袋;ふくろ;bag, sack;Noun
長袖;ながそで;long sleeves;Noun
半袖;はんそで;short sleeves;Noun
形;かたち;shape, form;Noun
景色;けしき;natural scenery or landscape;Noun
ざあざあ;ざあざあ;pouring;Adverb
再来月;さらいげつ;the month after next;Noun
泊める;とめる;let (someone) stay over;Verb
叱る;しかる;scold, reprimand;Verb
騒ぐ;さわぐ;make a noise, make a racket;Verb
車道;しゃどう;road, roadway (for cars);Noun
掃除機;そうじき;vacuum cleaner;Noun
剃る;そる;shave;Verb
貼る;はる;stick, paste, put;Verb
台;だい;stand, table;Noun
主に;おもに;mostly, predominantly;Adverb
倒す;たおす;knock down, overthrow;Verb
星;ほし;star, planet;Noun
長女;ちょうじょ;eldest daughter;Noun
爪;つめ;nail, claw;Noun
缶;かん;can, tin;Noun
とんとん;とんとん;tapping, patting;Adverb
袖;そで;sleeve;Noun
濡れる;ぬれる;get wet;Verb
パーセント;ぱーせんと;percent;Noun
上がる;あがる;go up, increase (in quality or quantity);Verb
拍手;はくしゅ;applause, clapping;Verbal Noun
弾く;ひく;play (instruments);Verb
ひも;ひも;laces, string;Noun
昼過ぎ;ひるすぎ;early afternoon;Noun
船;ふね;ship, vessel;Noun
まく;まく;scatter, sprinkle;Verb
姪;めい;niece;Noun
個人;こじん;individual person;Noun
歌手;かしゅ;singer;Noun
社員;しゃいん;staff member, employee;Noun
不動産屋;ふどうさんや;real estate agent;Noun
最大;さいだい;biggest, largest;Noun
動き;うごき;movement, motion;Noun
事件;じけん;affair, incident;Noun
過去;かこ;the past;Noun
協力;きょうりょく;cooperation, collaboration;Verbal Noun
時期;じき;time, season;Noun
経つ;たつ;pass, elapse;Verb
雷;かみなり;thunder, lightning;Noun
責任;せきにん;responsibility;Noun
願う;ねがう;wish, desire;Verb
発見;はっけん;discovery, revelation;Verbal Noun
気;き;spirit, temperament;Noun
美容院;びよういん;hair salon;Noun
状況;じょうきょう;situation, surrounding conditions;Noun
目的;もくてき;objective, purpose;Noun
企業;きぎょう;corporation, business;Noun
釣り;つり;fishing;Noun
漫画;まんが;comics, cartoon;Noun
温泉;おんせん;hot spring;Noun
トレーニング;とれーにんぐ;training, workout;Verbal Noun
噂;うわさ;gossip, rumor;Verbal Noun
本物;ほんもの;real, truly worthy (things, people);Noun
アイデア;あいであ;idea (loan word);Noun
地下;ちか;underground, basement;Noun
マーケット;まーけっと;market;Noun
スケジュール;すけじゅーる;schedule (loan word);Noun
出張;しゅっちょう;business trip;Verbal Noun
コック;こっく;cook, chef;Noun
正午;しょうご;noon;Noun
ブラシ;ぶらし;brush;Noun
書き取る;かきとる;write down, note down;Verb
歓迎;かんげい;welcome, greet;Verbal Noun
開発;かいはつ;development;Verbal Noun
郵便屋さん;ゆうびんやさん;mail carrier;Noun
会長;かいちょう;president, chairperson;Noun
金;きん;gold;Noun
灰;はい;ashes;Noun
骨;ほね;bone;Noun
風呂屋;ふろや;bathhouse, public bath;Noun
細か;こまか;small, fine, detailed;Adjectival Noun
行き;ゆき;going, bound for (traditional reading);Noun
人々;ひとびと;people;Noun
寺;てら;temple;Noun
鶏;にわとり;rooster, hen;Noun
港;みなと;port, harbor;Noun
移る;うつる;move to, transfer to;Verb
異なる;ことなる;differ;Verb
提供;ていきょう;offer, provide;Verbal Noun
市民;しみん;citizen;Noun
患者;かんじゃ;patient;Noun
元旦;がんたん;morning of the January 1st, New Year's Day;Noun
柔らかい;やわらかい;soft, gentle;Adjective
似合う;にあう;suit, match well;Verb
確かめる;たしかめる;check, confirm;Verb
背中;せなか;(one's) back;Noun
肌;はだ;human skin, surface;Noun
順番;じゅんばん;order, turn;Noun
まとも;まとも;sane, reasonable;Adjectival Noun
ぴったり;ぴったり;exactly right, perfect;Adjectival Noun
思わず;おもわず;unintentionally, unconsciously, spontaneously;Adverb
より;より;even more ~, even less ~;Adverb
もったいない;もったいない;wasteful, a shame;Adjective
情報;じょうほう;information;Noun
諦める;あきらめる;abandon, give up;Verb
懐かしい;なつかしい;fondly-remembered, long-forgotten;Adjective
怪しい;あやしい;suspicious, dubious;Adjective
示す;しめす;show, indicate;Verb
たっぷり;たっぷり;fully, amply;Adverb
早速;さっそく;immediately, right away;Adverb
偶然;ぐうぜん;by chance, coincidence;Adjectival Noun
続き;つづき;continuation, sequel;Noun
合計;ごうけい;sum, total;Verbal Noun
傷;きず;wound, scar;Noun
面倒;めんどう;troublesome, difficult;Adjectival Noun
具合;ぐあい;condition, health;Noun
中止;ちゅうし;suspension, cancellation;Verbal Noun
手続き;てつづき;procedure, proceeding;Verbal Noun
結果;けっか;result, outcome;Noun
建設;けんせつ;construction;Verbal Noun
販売;はんばい;sale, selling;Verbal Noun
機能;きのう;function, feature;Verbal Noun
頃;ころ;time, the time when ~;Noun
日中;にっちゅう;during the day;Noun
今後;こんご;in the future, from now on;Noun
影響;えいきょう;influence, effect;Verbal Noun
分野;ぶんや;field, area;Noun
関する;かんする;relate to, regarding;Verb
状態;じょうたい;state, condition;Noun
価格;かかく;price, value;Noun
姿;すがた;figure, appearance;Noun
期待;きたい;expectation, anticipation;Verbal Noun
除く;のぞく;remove, exclude;Verb
一般;いっぱん;general, common;Noun
表現;ひょうげん;expression;Verbal Noun
完成;かんせい;completion, finish making or building something;Verbal Noun
変化;へんか;change, alteration;Verbal Noun
参加;さんか;participation;Verbal Noun
土地;とち;land;Noun
検討;けんとう;examination and consideration;Verbal Noun
開始;かいし;beginning;Verbal Noun
備える;そなえる;provide for, prepare for;Verb
内容;ないよう;content;Noun
与える;あたえる;give (formal);Verb
広がる;ひろがる;spread out, extend;Verb
事実;じじつ;fact, truth;Noun
決定;けってい;decision;Verbal Noun
住宅;じゅうたく;housing, residence;Noun
代表;だいひょう;representative;Verbal Noun
命令;めいれい;command, order;Verbal Noun
立場;たちば;standpoint, position;Noun
なお;なお;still, in addition;Adverb
計算;けいさん;calculation;Verbal Noun
可能;かのう;possible, potential;Adjectival Noun
報告;ほうこく;report;Verbal Noun
都市;とし;city, urban city;Noun
政治;せいじ;politics;Noun
競争;きょうそう;competition;Verbal Noun
原因;げんいん;cause, origin;Noun
活動;かつどう;activity;Verbal Noun
歴史;れきし;history;Noun
表;ひょう;table, list;Noun
サイト;さいと;website;Noun
土産;みやげ;souvenir (plain);Noun
臭い;におい;(bad) smell;Noun
現金;げんきん;cash;Noun
虫;むし;insect, bug;Noun
寄る;よる;stop by, stop off;Verb
田舎;いなか;hometown, countryside;Noun
帰宅;きたく;return home, come home;Verbal Noun
重大;じゅうだい;important, serious;Adjectival Noun
マイナス;まいなす;minus, below zero;Verbal Noun
稼ぐ;かせぐ;earn, make money;Verb
左右;さゆう;left and right;Noun
痛み;いたみ;pain, ache;Noun
誤解;ごかい;misunderstanding;Verbal Noun
文句;もんく;complaint, grumble;Noun
欧米;おうべい;Europe and America;Noun
面接;めんせつ;interview;Verbal Noun
サイン;さいん;signature, autograph;Verbal Noun
年中;ねんじゅう;all year;Adverb
機嫌;きげん;mood, health;Noun
居間;いま;living room;Noun
度々;たびたび;often;Adverb
例文;れいぶん;example sentence;Noun
怠ける;なまける;be lazy, slack off;Verb
転勤;てんきん;change of job location, relocation;Verbal Noun
政府;せいふ;government, administration;Noun
所有;しょゆう;ownership, own;Verbal Noun
いずれ;いずれ;sometime later, eventually;Adverb
対する;たいする;face, be in response to;Verb
教会;きょうかい;church;Noun
