kanji;kana;english;class
真っ赤;まっか;deep red;Adjectival Noun
拾う;ひろう;pick up;Verb
回す;まわす;turn, rotate (something);Verb
ノート;のーと;notebook (loan word);Noun
辞める;やめる;resign, leave (one's job), quit;Verb
揺れる;ゆれる;shake, sway;Verb
立派;りっぱ;fine, elegant, magnificent;Adjectival Noun
練習;れんしゅう;practice, training;Verbal Noun
割る;わる;divide, split, break;Verb
部分;ぶぶん;part, section;Noun
拭く;ふく;wipe, dry;Verb
招く;まねく;invite;Verb
急;きゅう;urgent, steep;Adjectival Noun
汚れる;よごれる;become dirty;Verb
渡る;わたる;cross, go across;Verb
途中;とちゅう;on the way, half way;Noun
インタビュー;いんたびゅー;interview (loan word);Verbal Noun
盗む;ぬすむ;steal, rob;Verb
普段;ふだん;usual, ordinary;Adverb
旅館;りょかん;Japanese inn;Noun
博物館;はくぶつかん;museum;Noun
ホーム;ほーむ;platform (for short);Noun
引っ越す;ひっこす;move, relocate;Verb
荷物;にもつ;baggage, load;Noun
家賃;やちん;rent for a place to live;Noun
計画;けいかく;plan;Verbal Noun
廊下;ろうか;hallway, corridor;Noun
天井;てんじょう;ceiling;Noun
ベッド;べっど;bed;Noun
ソファー;そふぁー;sofa, couch;Noun
屋根;やね;roof;Noun
祭り;まつり;festival;Noun
離婚;りこん;divorce;Verbal Noun
葉;は;leaf;Noun
ボート;ぼーと;light boat, small craft;Noun
燃える;もえる;burn, catch on fire;Verb
巻く;まく;roll up, wrap;Verb
プラスチック;ぷらすちっく;plastic;Noun
訪れる;おとずれる;go and visit (place);Verb
破る;やぶる;tear, breach;Verb
関係;かんけい;relation, relationship;Verbal Noun
不幸;ふこう;unhappiness, misfortune;Adjectival Noun
録音;ろくおん;(sound) recording;Verbal Noun
外国語;がいこくご;foreign language;Noun
着物;きもの;traditional Japanese clothes;Noun
牛乳;ぎゅうにゅう;milk;Noun
救急車;きゅうきゅうしゃ;ambulance;Noun
果物;くだもの;fruit;Noun
間違い;まちがい;mistake, error;Noun
映画館;えいがかん;movie theater;Noun
怖い;こわい;scary, be afraid;Adjective
鏡;かがみ;mirror;Noun
草;くさ;grass, weed;Noun
敬語;けいご;polite speech;Noun
欠席;けっせき;absence (from school, a gathering, etc.);Verbal Noun
スイッチ;すいっち;switch;Noun
掃除;そうじ;cleaning;Verbal Noun
畳;たたみ;straw mat;Noun
速さ;はやさ;speed;Noun
林;はやし;woods, forest;Noun
プレゼント;ぷれぜんと;present (loan word);Verbal Noun
弁当;べんとう;boxed lunch;Noun
いつでも;いつでも;at all times, any time;Adverb
寂しい;さびしい;lonely, desolate;Adjective
少しも;すこしも;(not) in the least;Adverb
尊敬;そんけい;respect, esteem;Verbal Noun
テニス;てにす;tennis;Verbal Noun
広さ;ひろさ;area, extent;Noun
読み;よみ;reading;Noun
