kanji;kana;english;class
疲れる;つかれる;get tired;Verb
疲れる;つかれる; become fatigued;Verb
ひどい;ひどい;cruel;Adjective
ひどい;ひどい; awful;Adjective
全然;ぜんぜん;(not ) at all;Adverb
猫;ねこ;cat;Noun
デパート;でぱーと;department store (loan word);Noun
トイレ;といれ;rest room;Noun
トイレ;といれ; lavatory (loan word);Noun
地下鉄;ちかてつ;subway;Noun
駐車場;ちゅうしゃじょう;parking area;Noun
駐車場;ちゅうしゃじょう; parking lot;Noun
ぶつかる;ぶつかる;hit;Verb
ぶつかる;ぶつかる; bump into;Verb
運賃;うんちん;(passenger) fare;Noun
通学;つうがく;commuting to school;Verbal Noun
見送る;みおくる;see (someone) off;Verb
泣く;なく;cry;Verb
泣く;なく; weep;Verb
レストラン;れすとらん;restaurant;Noun
メモ;めも;memo;Noun
メモ;めも; note;Noun
予約;よやく;reservation;Verbal Noun
予約;よやく; appointment;Verbal Noun
番号;ばんごう;assigned number;Noun
注文;ちゅうもん;order;Verbal Noun
パン;ぱん;bread;Noun
ワイン;わいん;wine;Noun
材料;ざいりょう;material;Noun
材料;ざいりょう; ingredient;Noun
豚肉;ぶたにく;pork;Noun
焼く;やく;bake;Verb
焼く;やく; grill;Verb
匂い;におい;(pleasant) smell;Noun
匂い;におい; odor;Noun
付ける;つける;attach;Verb
付ける;つける; apply;Verb
付ける;つける; put;Verb
痩せる;やせる;lose weight;Verb
痩せる;やせる; become thin;Verb
届ける;とどける;deliver;Verb
間に合う;まにあう;be in time;Verb
間に合う;まにあう; suffice;Verb
向く;むく;turn;Verb
向く;むく; face;Verb
強さ;つよさ;strength;Noun
得意;とくい;one's specialty;Adjectival Noun
得意;とくい; be good at;Adjectival Noun
塗る;ぬる;spread on;Verb
塗る;ぬる; paint;Verb
投げる;なげる;throw;Verb
習う;ならう;learn;Verb
習う;ならう; take lessons;Verb
注目;ちゅうもく;attention;Verbal Noun
注目;ちゅうもく; notice;Verbal Noun
未来;みらい;future;Noun
